"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.id";"journal.code"
"accountClearance";"Apurement des trop-perçus";1;10;"APURMT_%Y_";;1;1;1;
"chequeReject";"Rejet chèques";1;10;"REJCHQ_%Y_";;1;1;1;
"customerInvoice";"Facture de vente";1;7;"FC_%Y";;1;1;1;
"customerRefund";"Avoir client";1;7;"AC_%Y";;1;1;1;
"supplierInvoice";"Facture d'achat";1;7;"FF_%Y";;1;1;1;
"supplierRefund";"Avoir fournisseur";1;7;"AVF_%Y";;1;1;1;
"debit";"Prélèvement (facture et echeanciers hors mensu)";1;7;"PREFAC_%Y_";;1;1;1;"ENC_PRE"
"debitReject";"Rejet des prélèvements";1;7;"REJPRL_%Y_";;1;1;1;"REJ_BNQ"
"doubtfulCustomer";"Passage en créance douteuse";1;7;"CREDOU_%Y_";;1;1;1;
"irrecoverable";"Passage en irrécouvrable";1;7;"IRRECOUV_%Y_";;1;1;1;
"move";"Ecriture Vente";1;7;"ECRVTE_%Y_";;1;1;1;"VTE"
"move";"Ecriture avoir";1;10;"ECRAV_%Y_";;1;1;1;"AVR"
"move";"Ecriture Achat";1;7;"ECRACH_%Y_";;1;1;1;"ACH"
"move";"Ecriture avoir fournisseur";1;10;"ECRAVF_%Y_";;1;1;1;"AVRF"
"move";"Ecriture Factice";1;7;"ECR_VIRT_%Y_";;1;1;1;"TECH"
"move";"Ecriture paiement en especes";1;7;"ECRESP_%Y_";;1;1;1;"ENC_ESP"
"move";"Ecriture paiement client par cheque";1;10;"ECRCHQ_%Y_";;1;1;1;"ENC_CHQ"
"move";"Ecriture paiement client par CB";1;10;"ECRCB_%Y_";;1;1;1;"ENC_CB"
"move";"Ecriture paiement client par internet";1;10;"ECRWEB_%Y_";;1;1;1;"ENC_WEB"
"move";"Ecriture paiement client par TIP";1;10;"ECRTIP_%Y_";;1;1;1;"ENC_TIP"
"move";"Ecriture paiement client par TIP+Cheque";1;10;"ECRTEC_%Y_";;1;1;1;"ENC_TEC"
"move";"Ecriture paiement client par virement";1;10;"ECRVIR_%Y_";;1;1;1;"ENC_VIR"
"move";"Ecriture paiement client par prélèvement  (factures et échéanciers hors mensu)";1;10;"ECRPRE_%Y_";;1;1;1;"ENC_PRE"
"move";"Ecriture paiement client par autres moyens";1;10;"ECROTH_%Y_";;1;1;1;"ENC_OTH"
"move";"Ecriture paiement client rejet d'opération bancaire";1;10;"ECRREJ_%Y_";;1;1;1;"REJ_BNQ"
"move";"Ecriture de remboursement automatique";1;10;"ECRRBTCLT_%Y_";;1;1;1;"RBT_CLT"
"move";"Ecriture règlement fournisseur en especes";1;7;"ECRESP_%Y_";;1;1;1;"DEC_ESP"
"move";"Ecriture règlement fournisseur par cheque";1;10;"ECRCHQ_%Y_";;1;1;1;"DEC_CHQ"
"move";"Ecriture règlement fournisseur par CB";1;10;"ECRCB_%Y_";;1;1;1;"DEC_CB"
"move";"Ecriture règlement fournisseur par TIP";1;10;"ECRTIP_%Y_";;1;1;1;"DEC_TIP"
"move";"Ecriture règlement fournisseur par virement";1;10;"ECRVIR_%Y_";;1;1;1;"DEC_VIR"
"move";"Ecriture règlement fournisseur par prélèvement  (factures et échéanciers hors mensu)";1;10;"ECRPRE_%Y_";;1;1;1;"DEC_PRE"
"move";"Ecriture règlement fournisseur par autres moyens";1;10;"ECROTH_%Y_";;1;1;1;"DEC_OTH"
"move";"Ecriture d'OD automatique";1;10;"ECRODAUTO_%Y_";;1;1;1;"OD_AUTO"
"move";"Ecriture d'OD manuelle";1;10;"ECRODMANU_%Y_";;1;1;1;"OD_MAN"
"move";"Ecriture d'apurements";1;10;"ECRAPUR_%Y_";;1;1;1;"APU_TP"
"move";"Ecriture passage en irrécouvrable";1;10;"ECRIRREC_%Y_";;1;1;1;"IRRECOUV"
"moveLineExport";"Export comptable";1;10;"EXPCPT_%Y_";;1;1;1;
"moveLineReport";"Reporting comptable";1;10;"REPORTDF_%Y_";;1;1;1;
