"importId";"name";"code";"bankJournal.importId";"invoiceLabel";"typeSelect";"inOutSelect"
1;"Enc. Autre";"ENC_OTH";13;"Autres moyens de paiement";2;1
2;"Enc. Prélèvement";"ENC_PRE";12;"Prélèvement";2;2
3;"Enc. TIP";"ENC_TIP";9;"TIP";2;3
4;"Enc. Espèces";"ENC_ESP";5;"Espèces";2;5
5;"Enc. Carte bancaire";"ENC_CB";7;"Carte bancaire";2;6
6;"Enc. Chèque";"ENC_CHQ";6;"Chèque";2;7
7;"Enc. Internet";"ENC_WEB";8;"Internet";2;8
8;"Enc. Virement";"ENC_VIR";11;"Virement";2;9
9;"Enc. TIP + Chèque";"ENC_TEC";10;"TIP + Chèque";2;4
10;"Dec. Prélèvement";"DEC_PRE";20;"Prélèvement";1;2
11;"Dec. TIP";"DEC_TIP";18;"TIP";1;3
12;"Dec. Espèces";"DEC_ESP";15;"Espèces";1;5
13;"Dec. Carte bancaire";"DEC_CB";17;"Carte bancaire";1;6
14;"Dec. Chèque";"DEC_CHQ";16;"Chèque";1;7
15;"Dec. Virement";"DEC_VIR";19;"Virement";1;9
16;"Dec. Autres";"DEC_OTH";21;"Autres moyens de paiement";1;1
