"importId";"partnerSeq";"partnerTypeSelect";"isContact";"name";"firstName";"fullName";"titleSelect";"languageSelect";"mainInvoicingAddress.importId";"deliveryAddress.importId";"email";"fixedPhone";"mobilePhone";"bankDetails.importId";"invoiceSendingFormatSelect";"paymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySectorSelect";"userInfo.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture.fileName"
20;"T00001";1;"false";"APOLLO";;"APOLLO";;"fr";62;62;"info@apollo.fr";"04.35.79.88.99";;1;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;4;11;2;5;;"20_120px.png"
21;"T00002";2;"true";"MICHEL";"Loic";"MICHEL Loic";1;"fr";62;62;"l.michel@apollo.fr";"04.31.45.39.99";"06.41.66.37.99";;;;;;;;;1;;;20;;;;;;;;
22;"T00003";2;"true";"GARCIA";"Daniel";"GARCIA Daniel";1;"fr";62;62;"d.garcia@apollo.fr";"04.19.14.89.99";"06.89.42.54.99";;;;;;;;;1;;;20;;;;;;;;
23;"T00004";2;"true";"DAVID";"Laurent";"DAVID Laurent";1;"fr";62;62;"l.david@apollo.fr";"04.73.26.45.99";"07.95.48.27.99";;;;;;;;;1;;;20;;;;;;;;
44;"T00005";1;"false";"BLUEBERRY TELECOM";;"BLUEBERRY TELECOM";;"fr";13002;13002;"info@blueberry-telecom.fr";"04.73.67.88.99";;2;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;"44_120px.png"
45;"T00006";2;"true";"ROUSSEAU";"Élisabeth";"ROUSSEAU Élisabeth";2;"fr";13001;13001;"e.rousseau@blueberry-telecom.fr";"04.86.61.79.99";"06.14.62.29.99";;;;;;;;;1;;;44;;;;;;;;
46;"T00007";2;"true";"BLANC";"Bernard";"BLANC Bernard";1;"fr";13001;13001;"b.blanc@blueberry-telecom.fr";"04.32.13.60.99";"07.83.63.98.99";;;;;;;;;1;;;44;;;;;;;;
70;"T00008";1;"false";"MASSON SA";;"MASSON SA";;"fr";311;311;"contact@masson.fr";"05.44.40.54.99";;3;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;1;2;21;;;3;;"70_120px.png"
71;"T00009";2;"true";"MASSON";"Xavier";"MASSON Xavier";1;"fr";311;311;"x.masson@masson.fr";"05.15.60.89.99";"07.76.18.65.99";;;;;;;;;1;;;70;;;;;;;;
72;"T00010";2;"true";"SANCHEZ";"Catherine";"SANCHEZ Catherine";2;"fr";311;311;"c.sanchez@masson.fr";"05.27.69.43.99";"07.59.17.99.99";;;;;;;;;1;;;70;;;;;;;;
77;"T00011";1;"false";"GERARD Solutions";;"GERARD Solutions";;"fr";330;330;"contact@gerard-solutions.fr";"05.22.62.48.99";;4;"emailpaper";8;2;"SME";"EUR";;;1;411100;401100;;2;1;4;12;2;12;;"77_128px.png"
78;"T00012";2;"true";"GERARD";"Fabrice";"GERARD Fabrice";1;"fr";330;330;"f.gerard@gerard-solutions.fr";"05.12.44.47.99";"06.90.75.97.99";;;;;;;;;1;;;77;;;;;;;;
79;"T00013";2;"true";"NGUYEN";"Xavier";"NGUYEN Xavier";1;"fr";330;330;"x.nguyen@gerard-solutions.fr";"05.57.53.68.99";"06.97.90.53.99";;;;;;;;;1;;;77;;;;;;;;
88;"T00014";1;"false";"123 Services";;"123 Services";;"fr";590;590;"contact@123-services.fr";"03.35.52.63.99";;5;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;3;2;7;9;1;1;;"88_120px.png"
89;"T00015";2;"true";"ROGER";"Jean Marc";"ROGER Jean Marc";1;"fr";590;590;"j.roger@123-services.fr";"03.83.87.87.99";"06.75.77.83.99";;;;;;;;;1;;;88;;;;;;;;
90;"T00016";2;"true";"ROCHE";"Dominique";"ROCHE Dominique";1;"fr";590;590;"d.roche@123-services.fr";"03.47.63.91.99";"07.42.32.10.99";;;;;;;;;1;;;88;;;;;;;;
91;"T00017";2;"true";"ROY";"Thierry";"ROY Thierry";1;"fr";590;590;"t.roy@123-services.fr";"03.50.79.78.99";"06.64.23.62.99";;;;;;;;;1;;;88;;;;;;;;
132;"T00018";1;"false";"BOURGEOIS INDUSTRIE";;"BOURGEOIS INDUSTRIE";;"fr";940;940;"info@bourgeois-industries.fr";"01.97.37.77.99";;6;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;2;1;17;8;3;2;;"132_120px.png"
133;"T00019";2;"true";"BOURGEOIS";"Luc";"BOURGEOIS Luc";1;"fr";940;940;"l.bourgeois@bourgeois-industries.fr";"01.42.72.29.99";"06.86.42.41.99";;;;;;;;;1;;;132;;;;;;;;
134;"T00020";2;"true";"ARAFI";"Zohra";"ARAFI Zohra";2;"fr";940;940;"z.arafi@bourgeois-industries.fr";"01.72.29.71.99";"06.43.52.92.99";;;;;;;;;1;;;132;;;;;;;;
135;"T00021";2;"true";"CHARLES";"Jeannot";"CHARLES Jeannot";1;"fr";940;940;"j.charles@bourgeois-industries.fr";"01.87.59.46.99";"07.72.53.10.99";;;;;;;;;1;;;132;;;;;;;;
136;"T00022";1;"false";"Banque GUILLOT";;"Banque GUILLOT";;"fr";950;950;"contact@banqueguillot.fr";"01.38.33.50.99";;7;"emailpaper";6;2;"SME";"EUR";;;1;411100;401100;;2;1;2;8;3;5;;"136_120px.png"
137;"T00023";2;"true";"GUILLOT";"Kévin";"GUILLOT Kévin";1;"fr";950;950;"k.guillot@banqueguillot.fr";"01.73.34.26.99";"06.63.55.39.99";;;;;;;;;1;;;136;;;;;;;;
138;"T00024";2;"true";"NOEL";"Jean Nicolas";"NOEL Jean Nicolas";1;"fr";950;950;"j.noel@banqueguillot.fr";"01.13.96.92.99";"07.44.77.73.99";;;;;;;;;1;;;136;;;;;;;;
139;"T00025";2;"true";"MEUNIER";"Paul";"MEUNIER Paul";1;"fr";950;950;"p.meunier@banqueguillot.fr";"01.22.82.15.99";"07.67.21.50.99";;;;;;;;;1;;;136;;;;;;;;
148;"T00026";1;"false";"TOP Components";;"TOP Components";;"en";2004;2004;"contact@top-components.com";"+86 21 5198 9999";;;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;5;2;"148_128px.png"
149;"T00027";2;"true";"ZHANG";"Annie";"ZHANG Annie";2;"en";2004;2004;"a.zhang@top-components.com";"+86 21 5198 9999";"+86 139 1658 8799";;;;;;;;;1;;;148;;;;;;;;
152;"T00028";1;"false";"SILVER Electronics";;"SILVER Electronics";;"en";2006;2006;"contact@silverelec.com";"+86 755 8396 9999";;;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;2;2;"152_128px.png"
153;"T00029";2;"true";"LI";"Yang";"LI Yang";1;"en";2006;2006;"y.li@silverelec.com";"+86 755 8396 9999";"+86 138 2479 7599";;;;;;;;;1;;;152;;;;;;;;
170;"T00030";1;"false";"SASAKI Components";;"SASAKI Components";;"en";6001;6001;"info@sasaki-components.com";"+81 3 5850 9999";;;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;1;2;16;;;12;2;"170_128px.png"
171;"T00031";2;"true";"SASAKI";"Amaya";"SASAKI Amaya";1;"en";6001;6001;"a.sasaki@sasaki-components.com";"+81 3 5850 9999";"+81 90 5136 7506";;;;;;;;;1;;;170;;;;;;;;
185;"T00032";1;"false";"DE KIMPE Engineering";;"DE KIMPE Engineering";;"en";1002;1002;"contact@dekimpe-eng.com";"+32 2 234 99 99";;;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;1;2;3;;;8;1;"185_120px.png"
186;"T00033";2;"true";"DE KIMPE";"Joos";"DE KIMPE Joos";1;"en";1002;1002;"j.de kimpe@dekimpe-eng.com";"+32 2 234 99 99";"+32 495 680 999";;;;;;;;;1;;;185;;;;;;;;
197;"T00034";1;"false";"DG Technologies";;"DG Technologies";;"en";8002;8002;"info@dg-technologies.com";"+31 20 530 79 99";;;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;1;16;13;3;10;1;"197_120px.png"
198;"T00035";2;"true";"DE GROOT";"Matthijs";"DE GROOT Matthijs";1;"en";8002;8002;"m.de groot@dg-technologies.com";"+31 20 530 79 99";"+31 (0)6 51 59 69 99";;;;;;;;;1;;;197;;;;;;;;
205;"T00036";1;"false";"AZ Inno";;"AZ Inno";;"en";3002;3002;"info@azinno.com";"+49 89 17301999";;;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;1;7;13;3;1;1;"205_120px.png"
206;"T00037";2;"true";"MULLER";"Jan";"MULLER Jan";1;"en";3002;3002;"j.muller@azinno.com";"+49 89 17301999";"+49 175 5440999";;;;;;;;;1;;;205;;;;;;;;
224;"T00038";1;"false";"WM Cinetics";;"WM Cinetics";;"en";10010;10011;"contact@wm-cinetics.com";"+1 415 490 2999";;;"emailpaper";8;5;"SME";"USD";;;1;411100;401100;;2;1;17;13;3;6;2;"224_128px.png"
225;"T00039";2;"true";"WILSON";"Charles";"WILSON Charles";1;"en";10010;10011;"c.wilson@wm-cinetics.com";"+1 415 490 2999";"+1 415 780 2999";;;;;;;;;1;;;224;;;;;;;;
237;"T00040";1;"false";"TGM Consulting";;"TGM Consulting";;"fr";75001;75001;"info@tgm-consulting.com";"01.73.66.77.99";;;"emailpaper";8;5;"SME";"EUR";;;1;411100;401100;;2;2;13;8;3;7;2;"237_128px.png"
238;"T00041";2;"true";"THOMPSON";"Kenneth";"THOMPSON Kenneth";1;"en";75001;75001;"k.thompson@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;;1;;;237;;;;;;;;
239;"T00042";2;"true";"GARCIA";"Steven";"GARCIA Steven";1;"en";75001;75001;"s.garcia@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;;1;;;237;;;;;;;;
240;"T00043";2;"true";"MARTINEZ";"Edward";"MARTINEZ Edward";1;"en";10019;10019;"e.martinez@tgm-consulting.com";"01.73.66.77.99";;;;;;;;;;1;;;237;;;;;;;;
1012;"T00044";2;"false";"PICARD";"Anna";"PICARD Anna";2;"fr";671;671;"a.picard@msn.com";"03.79.67.80.99";"06.45.25.47.99";8;"email";4;2;"INDIV";"EUR";;;1;411100;401100;;2;;;9;1;8;;"1012_128px.png"
1033;"T00045";2;"false";"MEYER";"Philippe";"MEYER Philippe";1;"fr";75019;75019;"p.meyer@yahoo.com";"01.52.66.34.99";"07.31.30.96.99";9;"email";5;2;"INDIV";"EUR";;;1;411100;401100;;2;;;8;3;9;;"1033_128px.png"
1039;"T00046";2;"false";"MITCHELL";"Sandra";"MITCHELL Sandra";2;"en";4008;4008;"s.mitchell@yahoo.com";"+44 151 227 8999";;;"email";8;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;12;2;"1039_128px.png"
1045;"T00047";2;"false";"PARKER";"Laura";"PARKER Laura";2;"en";10027;10027;"l.parker@msn.com";"+1 305 507 7799";;;"email";8;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;11;2;"1045_128px.png"
90000;"T00048";1;"false";"Axelor";;"Axelor";;"fr";90000;90000;"info@axelor.com";"01.83.64.06.50";;90000;"emailpaper";6;6;"SME";"EUR";;;1;411100;401100;;;;;;;;;
90001;"T00049";2;"true";"MARQUES";"Yoann";"MARQUES Yoann";1;"fr";90000;90000;"y.marques@axelor.com";"01.10.79.99.70";;;;;;;;;;1;;;90000;;;;;;;;
90002;"T00050";2;"true";"ROBERT";"Lucy";"ROBERT Lucy";2;"fr";90000;90000;"l.robert@axelor.com";"01.10.79.99.71";;;;;;;;;;1;;;90000;;;;;;;;
90003;"T00051";2;"true";"RICHARD";"Lucas";"RICHARD Lucas";1;"fr";90000;90000;"l.richard@axelor.com";"01.10.79.99.72";;;;;;;;;;1;;;90000;;;;;;;;
90004;"T00052";2;"true";"SILVA";"Daniel";"SILVA Daniel";1;"fr";90000;90000;"d.silva@axelor.com";"01.10.79.99.76";;;;;;;;;;1;;;90000;;;;;;;;
90005;"T00053";2;"true";"MARTIN";"Charles";"MARTIN Charles";1;"fr";90000;90000;"c.martin@axelor.com";"01.10.79.99.78";;;;;;;;;;1;;;90000;;;;;;;;
90006;"T00054";2;"true";"DEMOERP";"Kevin";"DEMOERP Kevin";1;"fr";90000;90000;"k.demoerp@axelor.com";"01.10.79.99.76";;;;;;;;;;1;;;90000;;;;;;;;
90007;"T00055";2;"true";"DEMOCRM";"Charles";"DEMOCRM Charles";1;"fr";90001;90001;"c.democrm@axelor.com";"01.10.79.99.77";;;;;;;;;;1;;;90000;;;;;;;;
90008;"T00056";2;"true";"RAYMOND";"Tony";"RAYMOND Tony";1;"fr";90003;90003;"t.raymond@axelor.com";"01.10.79.99.78";;;;;;;;;;1;;;90000;;;;;;;;
90009;"T00057";2;"true";"LAMY";"Thomas";"LAMY Thomas";1;"fr";90002;90002;"t.lamy@axelor.com";"01.10.79.99.79";;;;;;;;;;1;;;90000;;;;;;;;
90010;"T00058";2;"true";"GIRAULT";"Anne";"GIRAULT Anne";2;"fr";90004;90004;"a.girault@axelor.com";"01.10.79.99.80";;;;;;;;;;1;;;90000;;;;;;;;
90011;"T00059";2;"true";"GEOFFROY";"Dimitri";"GEOFFROY Dimitri";1;"fr";90000;90000;"d.geoffroy@axelor.com";"01.10.79.99.81";;;;;;;;;;1;;;90000;;;;;;;;
90012;"T00060";2;"true";"DAVID";"Alex";"DAVID Alex";1;"fr";90000;90000;"a.david@axelor.com";"01.10.79.99.82";;;;;;;;;;1;;;90000;;;;;;;;
90013;"T00061";2;"true";"ANDRE";"William";"ANDRE William";1;"fr";90000;90000;"w.andre@axelor.com";"01.10.79.99.83";;;;;;;;;;1;;;90000;;;;;;;;
90014;"T00062";2;"true";"MAURIN";"David";"MAURIN David";1;"fr";90000;90000;"d.maurin@axelor.com";"01.10.79.99.86";;;;;;;;;;1;;;90000;;;;;;;;
90015;"T00063";2;"true";"MARCHAL";"Cyril";"MARCHAL Cyril";1;"fr";90000;90000;"c.marchal@axelor.com";"01.10.79.99.87";;;;;;;;;;1;;;90000;;;;;;;;
90016;"T00064";2;"true";"COSTA";"Robin";"COSTA Robin";1;"fr";90000;90000;"r.costa@axelor.com";"01.10.79.99.88";;;;;;;;;;1;;;90000;;;;;;;;
90017;"T00065";2;"true";"COLIN";"Romane";"COLIN Romane";2;"fr";90000;90000;"r.colin@axelor.com";"01.10.79.99.89";;;;;;;;;;1;;;90000;;;;;;;;
90018;"T00066";2;"true";"LOUIS";"Victoria";"LOUIS Victoria";2;"fr";90000;90000;"v.louis@axelor.com";"01.10.79.99.90";;;;;;;;;;1;;;90000;;;;;;;;
