"code";"name";"password";"group.code";"language"
"admin";"Admin";"axadmin";"admins";"fr"
"demo";"Demo";"axdemo";"user";"fr"
"dirg";"Yoann MARQUES";"dirg";"MGT";"fr"
"assist";"Lucy ROBERT";"assist";"MGT";"fr"
"dirpro";"Lucas RICHARD";"dirpro";"MGT";"fr"
"chefpro";"Daniel SILVA";"chefpro";"ERP";"fr"
"consultant";"Charles MARTIN";"consultant";"consultant";"fr"
"demoerp";"Kevin DEMOERP";"demoerp";"ERP";"fr"
"democrm";"Charles DEMOCRM";"democrm";"CRM";"fr"
"comn";"Tony RAYMOND";"comn";"VTE";"fr"
"coms1";"Thomas LAMY";"coms1";"VTE";"fr"
"coms2";"Anne GIRAULT";"coms2";"VTE";"fr"
"comi";"Dimitri GEOFFROY";"comi";"VTE";"fr"
"achat";"Alex DAVID";"achat";"VTE";"fr"
"dirinfo";"William ANDRE";"dirinfo";"OPS";"fr"
"dirsupp";"David MAURIN";"dirsupp";"OPS";"fr"
"supp1";"Cyril MARCHAL";"supp1";"OPS";"fr"
"supp2";"Robin COSTA";"supp2";"OPS";"fr"
"dirrh";"Romane COLIN";"dirrh";"HRM";"fr"
"compta";"Victoria LOUIS";"compta";"CPT";"fr"
"client";"123 Service";"client";"client";"fr"
