"importId";"code";"name";"type.importId";"excessPaymentOk";"editReceiptOk";"descriptionModel";"descriptionIdentificationOk";"notExportOk";"exportCode";"inactiveOk"
1;"SAL";"Sales";1;"false";"false";"Cust. Inv.";"true";"false";;"false"
2;"CREF";"Refunds";2;"false";"false";"Cust. Refund";"true";"false";;"false"
3;"PCH";"Purchase";4;"false";"false";"Suppl. Inv.";"true";"false";;"false"
4;"SREF";"Supplier Refund";2;"false";"false";"Suppl. Refund";"true";"false";;"false"
5;"IN_CSH";"Cash Cashing";3;"false";"true";"Payment Rec.";"true";"false";;"false"
6;"IN_CHQ";"Cheque Cashing";3;"true";"false";"Payment Rec.";"true";"false";;"false"
7;"IN_CC";"Credit Card Cashing";3;"false";"false";"Payment Rec.";"true";"false";;"false"
8;"IN_WEB";"Internet Cashing";3;"false";"false";"Payment Rec.";"true";"false";;"false"
9;"IN_IPO";"IPO Cashing";3;"true";"false";"Payment Rec.";"true";"false";;"false"
10;"IN_IPOC";"IPO + Cheque Cashing";3;"true";"false";"Payment Rec.";"true";"false";;"false"
11;"IN_WT";"Wire Transfer Cashing";3;"true";"false";"Payment Rec.";"true";"false";;"false"
12;"IN_DD";"Direct Debit Cashing";3;"false";"false";"Payment Rec.";"true";"false";;"false"
13;"IN_OTH";"Other Cashing";3;"false";"false";"Payment Rec.";"true";"false";;"false"
14;"RBT_CLT";"Client reimbursement";3;"false";"false";"Reimbursement ";"true";"false";;"false"
15;"OUT_CSH";"Cash Payments";3;"true";"true";"Payment Emit.";"true";"false";;"false"
16;"OUT_CHQ";"Cheque Payments";4;"true";"false";"Payment Emit.";"true";"false";;"false"
17;"OUT_CC";"Credit Card Payments";5;"true";"false";"Payment Emit.";"true";"false";;"false"
18;"OUT_IPO";"IPO Payments";6;"true";"false";"Payment Emit.";"true";"false";;"false"
19;"OUT_WT";"Wire Transfer Payments";7;"true";"false";"Payment Emit.";"true";"false";;"false"
20;"OUT_DD";"Direct Debit Payments";8;"true";"false";"Payment Emit.";"true";"false";;"false"
21;"OUT_OTH";"Other Payments";9;"true";"false";"Payment Emit.";"true";"false";;"false"
22;"ACC_CLR";"Account clearance";10;"true";"false";;"false";"false";;"false"
23;"MISC_AUTO";"Auto Misc. Operation on invoices or cashing";11;"false";"false";;"false";"false";;"false"
24;"MISC_MAN";"Manual Misc. Operation";12;"false";"false";;"false";"false";;"false"
25;"REJ_BK";"Bank Operations Rejects";13;"false";"false";"Reject ";"true";"false";;"false"
26;"INSTALL";"Monthly Installments";14;"false";"false";"Installment";"true";"false";;"false"
27;"TECH";"Technical";5;"false";"false";;"false";"true";;"false"
28;"IRRECOV";"Irrecoverables";4;"false";"false";"Irrecoverable";"false";"false";;"false"
29;"EXP";"Employees Travel expenses";4;"false";"false";"Expense";"true";"false";;"false"
